name	age	height_cm	weight_kgs	positions	nationality	overall_rating	potential	preferred_foot	international_reputation(1-5)	weak_foot(1-5)	skill_moves(1-5)
L. Messi	31	170.18	72.1	CF,RW,ST	Argentina	94	94	Left	5	4	4
C. Eriksen	27	154.94	76.2	CAM,RM,CM	Denmark	88	89	Right	3	5	4
P. Pogba	25	190.5	83.9	CM,CAM	France	88	91	Right	4	4	5
L. Insigne	27	162.56	59	LW,ST	Italy	88	88	Right	3	4	4
K. Koulibaly	27	187.96	88.9	CB	Senegal	88	91	Right	3	3	2
V. van Dijk	27	193.04	92.1	CB	Netherlands	88	90	Right	3	3	2
K. MbappÃ©	20	152.4	73	RW,ST,RM	France	88	95	Right	3	4	5
S. AgÃ¼ero	30	172.72	69.9	ST	Argentina	89	89	Right	4	4	4
M. Neuer	32	193.04	92.1	GK	Germany	89	89	Right	5	4	1
E. Cavani	32	185.42	77.1	ST	Uruguay	89	89	Right	4	4	3
Sergio Busquets	30	187.96	76.2	CDM,CM	Spain	89	89	Right	4	3	3
T. Courtois	26	198.12	96.2	GK	Belgium	89	90	Left	4	2	1
M. ter Stegen	26	187.96	84.8	GK	Germany	89	92	Right	3	4	1
A. Griezmann	27	175.26	73	CF,ST	France	89	90	Left	4	3	4
M. Salah	26	175.26	71.2	RW,ST	Egypt	89	90	Left	3	3	4
P. Dybala	25	152.4	74.8	CAM,RW	Argentina	89	94	Left	3	3	4
M. Å kriniar	24	187.96	79.8	CB	Slovakia	86	93	Right	1	4	2
Fernandinho	33	152.4	67.1	CDM	Brazil	87	87	Right	3	4	3
G. HiguaÃ­n	31	185.42	88.9	ST	Argentina	87	87	Right	4	4	3
I. RakitiÄ‡	30	182.88	78	CM,CDM	Croatia	87	87	Right	4	4	3
J. Vertonghen	31	187.96	86.2	CB	Belgium	87	87	Left	3	3	3
D. Mertens	31	170.18	60.8	CF,ST	Belgium	87	87	Right	3	4	4
Marcelo	30	175.26	79.8	LB	Brazil	87	87	Left	4	4	5
T. Alderweireld	30	185.42	81.2	CB	Belgium	87	88	Right	3	3	2
Jordi Alba	29	170.18	68	LB	Spain	87	87	Left	3	3	3
Thiago	27	175.26	69.9	CM,CAM,CDM	Spain	87	87	Right	3	3	5
C. Immobile	29	185.42	84.8	ST	Italy	87	87	Right	3	4	3
K. Navas	32	185.42	79.8	GK	Costa Rica	87	87	Right	3	3	1
Isco	26	175.26	78.9	CAM,CM,LW	Spain	87	90	Right	3	3	4
J. RodrÃ­guez	27	154.94	74.8	CAM,CM,RM	Colombia	87	88	Left	4	3	4
Casemiro	27	185.42	83.9	CDM	Brazil	87	89	Right	3	3	2
M. Icardi	26	154.94	74.8	ST	Argentina	87	90	Right	3	4	3
