Player	Pos	Tm	Salary_Cap_Million
Kirk Cousins	QB	WAS	77
Trumaine Johnson	CB	LAR	39
Josh Norman	CB	WAS	61
Von Miller	LB	DEN	63
Justin Houston	LB	KAN	21
Matt Ryan	QB	ATL	67
Carson Palmer	QB	ARI	30
Muhammad Wilkerson	DT	NYJ	55
Sam Bradford	QB	MIN	64
Malik Jackson	DT	JAX	50
Gerald McCoy	DT	TAM	24
Cam Newton	QB	CAR	72
Andy Dalton	QB	CIN	61
Eli Manning	QB	NYG	68
Drew Brees	QB	NOR	69
Dez Bryant	WR	DAL	28
Janoris Jenkins	CB	NYG	77
Ezekiel Ansah	DE	DET	16
Russell Wilson	QB	SEA	59
Aaron Rodgers	QB	GNB	66
Le'Veon Bell	RB	PIT	46
Ben Roethlisberger	QB	PIT	61
Olivier Vernon	DE	NYG	75
Julio Jones	WR	ATL	73
Richard Sherman	DB	SEA	51
Trent Williams	T	WAS	75
Larry Fitzgerald	WR	ARI	31
Aqib Talib	DB	DEN	79
Philip Rivers	QB	LAC	30
Alex Smith	QB	KAN	18
J.J. Watt	DE	HOU	38
A.J. Green	WR	CIN	71
Clay Matthews	LB	GNB	50
Ndamukong Suh	DT	MIA	38
Patrick Peterson	CB	ARI	54
Marcell Dareus	DT	2TM	10
Duane Brown	G	2TM	47
Vontae Davis	DB	IND	72
Calais Campbell	DE	JAX	24
Cordy Glenn	T	BUF	23
Justin Pugh	OG	NYG	24
Joe Thomas	T	CLE	62
Damon Harrison	DT	NYG	64
Randall Cobb	WR	GNB	37
Byron Maxwell	DB	2TM	56
Demaryius Thomas	WR	DEN	40
Earl Thomas	DB	SEA	4
Alec Ogletree	OLB	LAR	60
Jordy Nelson	WR	GNB	11
Ryan Kerrigan	DE	WAS	79
Joe Staley	T	SFO	35
Sheldon Richardson	DT	SEA	4
Xavier Rhodes	CB	MIN	43
Corey Liuget	DT	LAC	56
T.Y. Hilton	WR	IND	36
Mike Glennon	QB	CHI	15
DeAndre Hopkins	WR	HOU	7
Mike Iupati	G	ARI	55
Mike Pouncey	OL	MIA	54
Jimmy Graham	TE	SEA	57
Lane Johnson	OT	PHI	53
Maurkice Pouncey	C	PIT	47
Andrew Whitworth	T	LAR	55
Tyrod Taylor	QB	BUF	18
Dontari Poe	DT	ATL	65
Jason Witten	TE	DAL	28
Chris Harris	CB	DEN	6
Luke Kuechly	ILB	CAR	32
Geno Atkins	DT	CIN	44
Tyrone Crawford	DE	DAL	51
Vinny Curry	DE	PHI	72
Akiem Hicks	DE	CHI	54
Allen Hurns	WR	JAX	61
Chandler Jones	DE	ARI	17
Marvin Jones	WR	DET	66
Cameron Jordan	DE	NOR	31
Dominique Rodgers-Cromartie	DB	NYG	58
Pernell McPhee	DL	CHI	31
Cameron Wake	LB	MIA	42
Eric Fisher	OT	KAN	57
Star Lotulelei	DT	CAR	12
Emmanuel Sanders	WR	DEN	21
Kelechi Osemele	T	OAK	73
Bennie Logan	DT	KAN	10
Vontaze Burfict	LB	CIN	45
Jared Veldheer	T	ARI	71
Jermey Parnell	T	JAX	34
Rodney Hudson	OL	OAK	6
Michael Bennett	DE	SEA	45
Brandon Graham	DE	PHI	74
Nate Solder	T	NWE	73
Johnathan Joseph	DB	HOU	5
Kareem Jackson	DB	HOU	23
Devin McCourty	DB	NWE	32
Greg Olsen	TE	CAR	58
DeSean Jackson	WR	TAM	43
Kyle Williams	DT	BUF	30
Kyle Long	OT	CHI	62
DeMarco Murray	RB	TEN	42
Michael Crabtree	WR	OAK	33
Brian Orakpo	LB	TEN	66
Riley Reiff	OT	MIN	40
Robert Quinn	DE	LAR	52
Adam Jones	DB	CIN	79
Kawann Short	DT	CAR	46
Kevin Zeitler	G	CLE	38
Marshal Yanda	T	BAL	7
Derrick Morgan	DE	TEN	61
Buster Skrine	DB	NYJ	35
Lavonte David	OLB	TAM	14
Brent Grimes	DB	TAM	3
Golden Tate	WR	DET	40
Mohamed Sanu	WR	ATL	20
Darian Stewart	DB	DEN	34
Malcolm Jenkins	DB	PHI	28
LeSean McCoy	RB	BUF	49
Joe Flacco	QB	BAL	54
K.J. Wright	LB	SEA	70
Donald Penn	T	OAK	17
Coby Fleener	TE	NOR	35
Doug Martin	RB	TAM	45
Alex Mack	C	ATL	48
Tamba Hali	DE	KAN	36
Kenny Vaccaro	FS	NOR	70
Eric Reid	FS	SFO	53
Julius Thomas	TE	MIA	22
Brandon Linder	OG	JAX	67
Haloti Ngata	DT	DET	22
Lamar Miller	RB	HOU	30
Derek Wolfe	DT	DEN	39
Jerry Hughes	DE	BUF	34
Bryan Bulaga	T	GNB	78
Carlos Dunlap	DE	CIN	27
Gabe Jackson	OG	OAK	71
Travis Benjamin	WR	LAC	53
Andy Levitre	G	ATL	7
Kyle Rudolph	TE	MIN	74
Harrison Smith	FS	MIN	3
Rishard Matthews	WR	TEN	28
Barry Church	DB	JAX	71
Mike Mitchell	DB	PIT	64
Logan Ryan	CB	TEN	69
Sean Smith	DB	OAK	75
Melvin Ingram	DE	LAC	60
Derek Carr	QB	OAK	29
Jay Cutler	QB	MIA	71
Tashaun Gipson	DB	JAX	5
Mark Barron	LB	LAR	41
Brandon Brooks	G	PHI	20
Jason Kelce	OL	PHI	26
Mitchell Schwartz	T	KAN	14
Mychal Kendricks	ILB	PHI	15
Rodger Saffold	T	LAR	77
Tyler Eifert	TE	CIN	40
Tyrann Mathieu	CB	ARI	34
Mike Wallace	WR	BAL	56
Jeff Allen	T	HOU	75
Jamie Collins	OLB	CLE	55
Morgan Burnett	DB	GNB	6
Josh Sitton	G	CHI	59
Stephon Gilmore	CB	NWE	72
Joe Barksdale	OL	LAC	66
Charles Clay	TE	BUF	73
Cliff Avril	DE	SEA	76
Chris Ivory	RB	JAX	45
Bruce Irvin	DE	OAK	74
Antonio Gates	TE	LAC	76
Whitney Mercilus	DE	HOU	6
James Carpenter	OL	NYJ	17
Demar Dotson	T	TAM	47
